win_from,split,win_to,bl_is_return,bl_is_sharpe,hmm_is_return,is_delta,bl_oos_return,bl_oos_annual,bl_oos_sharpe,bl_oos_dd,bl_oos_calmar,bl_oos_time,bl_oos_trades,hmm_oos_return,hmm_oos_annual,hmm_oos_sharpe,hmm_oos_dd,hmm_oos_calmar,hmm_oos_time,hmm_oos_trades,oos_delta,improved,best_score_threshold,param_hmm_score_threshold,param_hmm_threshold,param_hmm_gate,param_hmm_train_years,param_feat_Returns,param_feat_Range,param_feat_r5,param_feat_r20,param_feat_vol,param_feat_log_ret,param_feat_vol_short,param_feat_vol_long,param_feat_atr_norm,param_feat_vol_of_vol,param_feat_vol_lag1,param_feat_downside_vol,param_feat_vol_z,param_state_pos_0,param_state_pos_1,param_state_pos_2,param_state_pos_3,param_state_pos_4,param_state_pos_5
2010-01-01,2013-01-01,2015-01-01,0.2573933460615808,-0.8867223986013604,0.37083663289346375,0.11344328683188293,1.8021207421200522,0.8976541525370418,-0.1261658605432761,0.8012067581934508,1.12037765952082,0.19708984694443643,19,0.10788205357648258,0.053963432372317044,-3.3732524711694096,0.28402273266983585,0.1899968775916511,0.31299762101843953,18,-1.6942386885435696,False,1.0535542040581596,1.0535542040581596,0.32975626313799633,threshold,5.0,True,False,False,True,True,False,False,True,True,True,False,False,False,0.45300496594025347,0.9937254411259975,0.1699946498998833,0.4567301737686131,0.6491421184186299,0.5831158182619078
2011-01-01,2014-01-01,2016-01-01,1.7662718601197704,-0.39962831950500444,1.2914092074152586,-0.4748626527045119,-1.3596010181014573,-0.682592607298893,-1.5317940096090035,2.909731984406924,-0.2345895123526377,0.794109266018495,20,-0.4958009850982198,-0.24837832445935293,-2.162740617226311,1.4176079776979165,-0.1752094573160485,0.15956598205957562,19,0.8638000330032375,True,0.7175730452659654,0.7175730452659654,0.4777340195043219,threshold,5.0,False,False,True,False,False,False,False,True,False,True,True,True,True,0.696501719325318,0.5852934985264296,0.908967269311736,0.41056685692589656,0.48047490525129233,0.0739978982547043
2012-01-01,2015-01-01,2017-01-01,1.9526847334678168,-0.4287521638860303,1.3237612611347067,-0.6289234723331101,-0.4803750753322092,-0.24031239590303066,-0.9408423447064196,2.372783663428083,-0.10127867938699434,0.5393024879740551,19,0.9278538817359367,0.46253844171857406,-1.0407645368982545,0.5914250820394253,0.7820744431798388,0.292779374984093,18,1.4082289570681459,True,1.6890449515920039,1.6890449515920039,0.8439238790761863,threshold,5.0,True,True,False,True,True,False,False,True,True,False,True,False,False,0.03880993586270923,0.3312478797618124,0.5557471959467853,0.48747533286953776,0.44761363054325076,0.441166686278628
2013-01-01,2016-01-01,2018-01-01,0.07214640069539019,-0.9527245135509383,0.37972902771613826,0.30758262702074807,2.498368999716957,1.240623749674441,0.2740674527299118,0.7867320109738939,1.5769331009407834,0.4414470929186791,16,1.2002431835421739,0.5979211117102867,-1.1552065169111774,0.19225610377634778,3.1100240770813214,0.14858721394557506,14,-1.298125816174783,False,1.1287119621526533,1.1287119621526533,0.6509137769036448,threshold,5.0,True,False,True,True,True,False,True,True,False,True,False,False,False,0.417411003148779,0.22210781047073025,0.1198653673336828,0.33761517140362796,0.9429097039125192,0.32320293202075523
2014-01-01,2017-01-01,2019-01-01,-0.3735898688887537,-0.9371527523336279,0.7069975082066796,1.0805873770954333,-0.05573266653646715,-0.02788930354078456,-0.6415000143622606,3.0986945921660896,-0.009000339565987696,0.46194168110378087,18,1.4331185179008898,0.7145009971467386,-0.4326466643256626,0.7912548980272818,0.9029972502263149,0.31562549201771617,18,1.488851184437357,True,1.5326006966023906,1.5326006966023906,0.5228399663294597,threshold,5.0,True,True,False,True,True,False,False,True,True,False,True,False,False,0.04600264202175275,0.040728802318970136,0.8554605840110072,0.7036578593800237,0.4741738290873252,0.09783416065100148
2015-01-01,2018-01-01,2020-01-01,1.3506275733542716,-0.45579676198479346,1.2567772501341716,-0.09385032322010001,2.4606964761451384,1.2237138556291383,0.12500944588580065,2.5573671901515347,0.47850533953109337,0.6591554620536044,20,-0.10350527570450505,-0.05180148346927149,-1.5446545176910467,1.2674648384510834,-0.04087015426209058,0.14125435904134065,20,-2.5642017518496436,False,1.7128581193191799,1.7128581193191799,0.30634596561547445,threshold,5.0,False,False,False,True,True,False,False,True,False,True,True,True,True,0.5769038846263591,0.4925176938188639,0.1952429877980445,0.7224521152615053,0.2807723624408558,0.02431596643145384
2016-01-01,2019-01-01,2021-01-01,0.8685084261432058,-0.4977943727635776,1.2838082817218288,0.41529985557862303,6.1952906594124215,3.048980863425066,0.5917184952353763,2.3414840186833383,1.3021574518964971,0.6594007349340245,20,1.9489758491172398,0.96911897307006,-0.01496300943467608,0.9721130032945908,0.9969200800581992,0.15358297596685588,18,-4.246314810295182,False,1.5375812434867322,1.5375812434867322,0.7850830816376726,threshold,5.0,False,True,True,True,True,False,True,False,True,False,False,False,True,0.0902897700544083,0.835302495589238,0.32078006497173583,0.18651851039985423,0.040775141554763916,0.5908929431882418
2017-01-01,2020-01-01,2022-01-01,3.8061855999453544,0.15575431740272108,1.0272529214197648,-2.7789326785255897,5.797251198773753,2.855808396652537,0.5091894165502804,3.039225200567572,0.9396501437666476,1.1679664169205353,22,0.642448764638335,0.3204903923503144,-0.3895472144775268,2.472717938005167,0.12961057443084908,0.1494763110531494,21,-5.154802434135418,False,1.8551287236845648,1.8551287236845648,0.31144560196022075,threshold,5.0,True,True,True,True,True,True,False,True,True,False,True,False,False,0.8870864242651173,0.7798755458576239,0.6420316461542878,0.08413996499504883,0.16162871409461377,0.8985541885270792
2018-01-01,2021-01-01,2023-01-01,7.731093228059792,0.4938981196663012,1.447965634649522,-6.28312759341027,-0.856817430912488,-0.4296237674418779,-0.26809730155638706,6.771291278117111,-0.06344783436363162,0.2822553849546239,19,-2.768108264509021,-1.3947150120186436,-0.682332068511909,5.7329767418593,-0.24327937733204796,0.151700709015131,17,-1.9112908335965333,False,2.0034404360238254,2.0034404360238254,0.9835308129442003,threshold,5.0,True,True,False,False,False,False,True,True,True,False,False,False,True,0.8984765716978931,0.01735814932110913,0.11002691715848784,0.8100813118535107,0.09787890533355237,0.6113655081445536
2019-01-01,2022-01-01,2024-01-01,5.385023995795243,0.2471357282157006,1.3878383460866217,-3.997185649708621,5.024704672039166,2.4832822276382283,0.3252244996840616,5.056919508556274,0.4910661962162006,1.4488664920208976,16,2.233299785003255,1.1112488347620797,0.04948596044711005,4.335460746711687,0.2563162025177895,0.15051414200570434,14,-2.7914048870359114,False,2.3225653929603425,2.3225653929603425,0.5537272770093781,threshold,5.0,True,True,False,True,True,True,False,False,False,True,False,True,True,0.2224469771205015,0.1440542375721578,0.26247063598300047,0.9466621400083242,0.8643567237315488,0.8975980653958305
