number,value,datetime_start,datetime_complete,duration,params_hmm_components,params_hmm_gate,params_hmm_score_threshold,params_hmm_threshold,params_hmm_train_years,state
31,-999.0,2026-04-06 21:13:11.182091,2026-04-06 21:13:11.196401,0 days 00:00:00.014310,8,threshold,0.529790683414578,0.9429536059014305,5.0,COMPLETE
32,-999.0,2026-04-06 21:13:11.196515,2026-04-06 21:13:11.211013,0 days 00:00:00.014498,8,threshold,0.6436951875544118,0.977599943011997,5.0,COMPLETE
33,-999.0,2026-04-06 21:13:11.211138,2026-04-06 21:13:11.225347,0 days 00:00:00.014209,10,threshold,0.9981668837487753,0.8562805687463549,5.0,COMPLETE
34,-999.0,2026-04-06 21:13:11.225456,2026-04-06 21:13:11.239946,0 days 00:00:00.014490,8,threshold,0.9052851149125647,0.6798929176022205,5.0,COMPLETE
35,-999.0,2026-04-06 21:13:11.240057,2026-04-06 21:13:11.254431,0 days 00:00:00.014374,6,threshold,1.2437021324890325,0.9333156818776679,5.0,COMPLETE
36,-999.0,2026-04-06 21:13:11.254565,2026-04-06 21:13:11.269019,0 days 00:00:00.014454,7,threshold,0.6803481058948557,0.7453551684924198,5.0,COMPLETE
37,-999.0,2026-04-06 21:13:11.269134,2026-04-06 21:13:11.284192,0 days 00:00:00.015058,9,threshold,2.1492644510439614,0.39914900068567,5.0,COMPLETE
38,-999.0,2026-04-06 21:13:11.284306,2026-04-06 21:13:11.298979,0 days 00:00:00.014673,5,threshold,0.9428080809706932,0.921127199680102,5.0,COMPLETE
39,-999.0,2026-04-06 21:13:11.299089,2026-04-06 21:13:11.313451,0 days 00:00:00.014362,7,threshold,2.372542010973312,0.8251154742429632,5.0,COMPLETE
40,-999.0,2026-04-06 21:13:11.313566,2026-04-06 21:13:11.330002,0 days 00:00:00.016436,6,threshold,2.4943683372862764,0.35692195331329085,5.0,COMPLETE
41,-999.0,2026-04-06 21:13:11.330121,2026-04-06 21:13:11.345015,0 days 00:00:00.014894,9,threshold,1.1213403674666251,0.44125160478224024,5.0,COMPLETE
42,-999.0,2026-04-06 21:13:11.345136,2026-04-06 21:13:11.360118,0 days 00:00:00.014982,10,threshold,1.1424712912856703,0.5315275725759968,5.0,COMPLETE
43,-999.0,2026-04-06 21:13:11.360307,2026-04-06 21:13:11.374689,0 days 00:00:00.014382,9,threshold,0.8266820817399865,0.6537993523374088,5.0,COMPLETE
44,-999.0,2026-04-06 21:13:11.374799,2026-04-06 21:13:11.389439,0 days 00:00:00.014640,8,threshold,0.5972270290375983,0.455196017549922,5.0,COMPLETE
45,-999.0,2026-04-06 21:13:11.389551,2026-04-06 21:13:11.403984,0 days 00:00:00.014433,8,threshold,0.7594170438735602,0.3563938809040702,5.0,COMPLETE
46,-999.0,2026-04-06 21:13:11.404098,2026-04-06 21:13:11.418600,0 days 00:00:00.014502,5,threshold,1.6100343825341055,0.41182728533681656,5.0,COMPLETE
47,-999.0,2026-04-06 21:13:11.418711,2026-04-06 21:13:11.433439,0 days 00:00:00.014728,7,threshold,0.9897459319795991,0.47210932901135977,5.0,COMPLETE
48,-999.0,2026-04-06 21:13:11.433564,2026-04-06 21:13:11.448068,0 days 00:00:00.014504,4,threshold,0.5099157981746069,0.7878967021744937,5.0,COMPLETE
49,-999.0,2026-04-06 21:13:11.448177,2026-04-06 21:13:11.462945,0 days 00:00:00.014768,9,threshold,1.994175198821833,0.5828812734369169,5.0,COMPLETE
50,-999.0,2026-04-06 21:13:11.463061,2026-04-06 21:13:11.477294,0 days 00:00:00.014233,6,threshold,1.5005511669062597,0.7095617341183659,5.0,COMPLETE
51,-999.0,2026-04-06 21:13:11.477466,2026-04-06 21:13:11.492164,0 days 00:00:00.014698,3,threshold,0.8136823541493888,0.6481895554955244,5.0,COMPLETE
52,-999.0,2026-04-06 21:13:11.492274,2026-04-06 21:13:11.506875,0 days 00:00:00.014601,4,threshold,0.8785938735429858,0.3087007781050367,5.0,COMPLETE
53,-999.0,2026-04-06 21:13:11.506989,2026-04-06 21:13:11.521546,0 days 00:00:00.014557,3,threshold,1.0239788614576781,0.5540095563684875,5.0,COMPLETE
54,-999.0,2026-04-06 21:13:11.521664,2026-04-06 21:13:11.536205,0 days 00:00:00.014541,4,threshold,1.2136889707414449,0.6703291173376973,5.0,COMPLETE
55,-999.0,2026-04-06 21:13:11.536316,2026-04-06 21:13:11.550796,0 days 00:00:00.014480,3,threshold,0.7278124101234543,0.7694711578169185,5.0,COMPLETE
56,-999.0,2026-04-06 21:13:11.550908,2026-04-06 21:13:11.565381,0 days 00:00:00.014473,5,threshold,0.6163120446466047,0.7310780395234971,5.0,COMPLETE
57,-999.0,2026-04-06 21:13:11.565493,2026-04-06 21:13:11.580748,0 days 00:00:00.015255,4,threshold,1.4017704435681473,0.6217539484578379,5.0,COMPLETE
58,-999.0,2026-04-06 21:13:11.580861,2026-04-06 21:13:11.595718,0 days 00:00:00.014857,7,threshold,2.361012536279536,0.8472400852913897,5.0,COMPLETE
59,-999.0,2026-04-06 21:13:11.595838,2026-04-06 21:13:11.612523,0 days 00:00:00.016685,4,threshold,2.1770017743656735,0.5046053601524426,5.0,COMPLETE
