win_from,split,win_to,bl_is_return,bl_is_sharpe,hmm_is_return,is_delta,bl_oos_return,bl_oos_annual,bl_oos_sharpe,bl_oos_dd,bl_oos_calmar,bl_oos_time,bl_oos_trades,hmm_oos_return,hmm_oos_annual,hmm_oos_sharpe,hmm_oos_dd,hmm_oos_calmar,hmm_oos_time,hmm_oos_trades,oos_delta,improved,best_score_threshold,param_hmm_score_threshold,param_hmm_threshold,param_hmm_gate,param_hmm_train_years,param_feat_Returns,param_feat_Range,param_feat_r5,param_feat_r20,param_feat_vol,param_feat_log_ret,param_feat_vol_short,param_feat_vol_long,param_feat_atr_norm,param_feat_vol_of_vol,param_feat_vol_lag1,param_feat_downside_vol,param_feat_vol_z
2010-01-01,2013-01-01,2014-01-01,-0.5043368635770166,-1.3474005129085622,0.3540007793980039,0.8583376429750205,1.5797521244109665,1.580842654247494,0.7920423511481576,0.3604372044581525,4.385903105158039,1.2414602909999992,10,2.977000990572953,2.9790701075012915,1.3822189093729358,0.7093724552932862,4.199585260566131,0.698603917000014,9,1.3972488661619864,True,1.1219646434313244,1.1219646434313244,0.5243764921984554,threshold,5.0,True,True,False,True,True,True,False,False,False,True,False,True,True
2011-01-01,2014-01-01,2015-01-01,1.477483338068181,-0.5968711961587858,3.9511083651206134,2.4736250270524325,0.1621491056783998,0.1622602567649567,-1.1045987131518646,0.7312719938471524,0.22188769449698317,0.9742429169999998,10,1.031079428121273,1.0317892777904625,0.028950839044668157,1.1689575478503842,0.882657612064559,0.7190607080000291,9,0.8689303224428732,True,0.6247231553811368,0.6247231553811368,0.767929806874466,threshold,5.0,True,False,False,True,True,False,False,True,False,True,True,False,True
2012-01-01,2015-01-01,2016-01-01,1.5221469610927743,-0.6010213589086785,3.669341010319622,2.1471940492268473,-1.5925027786842256,-1.5935847964346328,-2.1651121175848207,2.1276127931836673,-0.7490013227689151,1.4166040829999993,11,-2.167379596795188,-2.1688478874022477,-2.27212997415504,2.7568818557017924,-0.7867032397186804,0.09889700000007906,10,-0.5748768181109623,False,2.4978384747002504,2.4978384747002504,0.5723549143506992,threshold,5.0,True,True,True,False,True,False,True,False,False,False,True,False,True
2013-01-01,2016-01-01,2017-01-01,0.2640147242304811,-0.9117671179828173,1.4208174412018124,1.1568027169713313,0.4083056860764045,0.4074672917866007,-0.6662861746681383,0.6703970990753806,0.6077999029956787,1.4787727499999992,8,-0.2904531782893464,-0.289858850792557,-0.8002469326928008,2.2531953162607032,-0.1286434641066062,0.510095041999989,8,-0.698758864365751,False,1.386030976077948,1.386030976077948,0.5060575700170619,threshold,5.0,False,False,True,False,False,True,True,True,False,True,True,False,True
2014-01-01,2017-01-01,2018-01-01,-0.6626675164119515,-1.0311193037643316,1.1586331260182197,1.8213006424301712,1.038875291022181,1.0395905353413282,0.057327128254326974,0.521847272465863,1.9921356116876774,1.6667600420000017,10,1.997449195200621,1.998830894078707,0.6396087332300221,1.0363885292251271,1.9286501516696306,0.46709424999994553,10,0.95857390417844,True,1.2518879581715983,1.2518879581715983,0.5113056114391682,threshold,5.0,True,False,True,False,False,True,False,True,True,False,True,True,False
2015-01-01,2018-01-01,2019-01-01,0.5662462366292894,-0.6839622004667101,3.699258378392799,3.1330121417635093,-1.5928316684010642,-1.5939139077993048,-1.529642885419753,2.1683152410551094,-0.7350932547168284,1.3607017090000006,10,-1.9813725350321183,-1.9827160959656975,-1.1514338681013092,2.9161680461065798,-0.6799046092740958,0.32929858299996795,8,-0.38854086663105414,False,1.1418499577678043,1.1418499577678043,0.8780132829542661,threshold,5.0,True,True,True,True,False,True,False,False,True,False,False,True,False
2016-01-01,2019-01-01,2020-01-01,0.37193155126438066,-0.6341126292631015,2.2149828322231184,1.8430512809587378,1.215557810553597,1.2163954276909639,0.14457619964636853,1.2461418465287861,0.9761291871220897,2.7007554999999996,10,2.0947972771971983,2.0962470042944714,0.6576542874765215,1.3654557821019342,1.5351994782779295,0.5918938329999719,6,0.8792394666436014,True,1.8949848692394438,1.8949848692394438,0.563603803137838,threshold,5.0,True,False,True,True,True,False,False,True,False,True,True,True,False
2017-01-01,2020-01-01,2021-01-01,0.7798938328331715,-0.457560769906911,6.405057232019782,5.625163399186611,1.956100904552557,1.9520536303375025,0.2938661402317227,2.365145724235421,0.8253418004374937,1.723087167000001,8,3.4802586316769593,3.473004523146006,0.5807449399690057,2.663327868570921,1.3040093801930357,0.07809933400005775,7,1.5241577271244022,True,0.676985004103839,0.676985004103839,0.4352281750692102,threshold,5.0,False,True,True,False,False,False,True,False,False,True,True,True,True
2018-01-01,2021-01-01,2022-01-01,-0.12439345753833186,-0.39304946281557634,3.511811134746502,3.636204592284834,2.54739083044829,2.549157670859592,0.5997945730430032,2.4758067199289604,1.029627090976123,1.772914042,11,1.9138098368097272,1.9151331381782821,0.22445373399355856,4.948695194421183,0.3869975949089107,0.061099500000068474,9,-0.633580993638563,False,1.8331829905606993,1.8331829905606993,0.9410914007531312,threshold,5.0,True,True,False,True,True,False,True,False,False,False,True,True,True
2019-01-01,2022-01-01,2023-01-01,2.755237177066927,-0.018356830599157117,8.046171264305361,5.290934087238433,-6.614673282271092,-6.619050518024472,-1.934312228802051,8.382659181580609,-0.7896122667814826,2.321451542,10,-7.1777482421993914,-7.182483568937615,-2.7729129840843485,7.1777482421993914,-1.0006597231580767,0.581551582999964,8,-0.5630749599282998,False,1.611407027137664,1.611407027137664,0.6108674595768185,threshold,5.0,True,True,False,True,False,True,True,False,True,False,False,False,False
2020-01-01,2023-01-01,2024-01-01,-5.751147786975213,-0.8302406909418253,4.224650687540459,9.97579847451567,2.379790374594741,2.381439624448811,0.4994016057518459,2.3407033256108116,1.0174034438248893,3.3421420410000007,9,0.40561308944517804,0.40589146968683654,-0.15154705328062762,2.447469171364596,0.16584130024425603,0.14286854200008747,8,-1.9741772851495627,False,2.0702526178245053,2.0702526178245053,0.9877223795063286,threshold,5.0,False,False,False,False,True,True,True,True,True,False,False,False,True
2021-01-01,2024-01-01,2025-01-01,-2.5193023826404244,-0.5034308508591591,2.5086647753315776,5.027967157972002,1.8705450777523076,1.866676438713899,0.27075336171346076,1.9438080256006507,0.9603193392192537,3.0196004169999995,13,1.38250705684883,1.3796545970855778,0.12503951283650197,2.106926409286373,0.6548185978421877,0.32306900000003225,3,-0.4880380209034776,False,2.2495904905635116,2.2495904905635116,0.9301921592218588,threshold,5.0,True,True,True,True,True,False,True,False,False,False,True,True,False
