Date,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
2018-01-02,150.2222137451172,236.56224060058594,150.26012074095027,236.59745476666384,148.02323195402843,235.35641730266835,148.39288663029606,235.74369254790972,32573300,86655700
2018-01-03,151.6818389892578,238.0584259033203,151.81453514023718,238.20806589594875,150.33591675423952,236.72936705656858,150.36435061067826,236.72936705656858,29383600,90070400
2018-01-04,151.94717407226562,239.061767578125,152.40213006675788,239.54587477819527,151.72917643406169,238.12001079281382,152.20309314663828,238.70092331658452,24776100,80636400
2018-01-05,153.4731903076172,240.6549835205078,153.57745256550595,240.77819278482892,152.3831876265179,239.36113851220546,152.66754055374093,239.85402929055562,26992300,83524000
2018-01-08,154.0703125,241.0950469970703,154.1461409028284,241.25347040718765,153.41630518054535,240.26768893019437,153.4731728669694,240.55813184874282,23159100,57319200
2018-01-09,154.07981872558594,241.6407928466797,154.5347747774991,242.2657032159506,153.61538954483012,241.235897127514,154.37364481042138,241.51755670766337,24782400,57254000
2018-01-10,153.71961975097656,241.2711181640625,153.74806805983167,241.53518410067684,152.71491862258435,240.21493499921533,153.3973598537169,240.88384294545753,34004000,69574300
2018-01-11,154.77175903320312,243.03138732910156,154.78124662642372,243.03138732910156,153.74811136099768,241.65833076818808,153.9850697867997,241.825564426552,20473500,62361500
2018-01-12,155.90919494628906,244.61569213867188,156.07032496499838,244.78289892979492,154.4400495885555,242.99616342156756,154.6390865975742,243.29544343228133,37762700,90816100
2018-01-16,155.4636993408203,243.7795867919922,157.73849460861618,246.52570051228253,154.99925558591062,243.08424810623418,156.9423177111672,245.874386244416,41231800,106555100
2018-01-17,157.14129638671875,246.1031494140625,157.37825474179195,246.49042451957706,155.4446809280223,243.77952564150394,156.2029505568146,244.71249925191754,33849900,113258800
2018-01-18,157.16976928710938,245.68943786621094,157.52993620847784,246.41115324241954,156.52523493981045,245.19652041975579,156.8948894530521,245.98869094620426,26432200,100728000
2018-01-19,157.66262817382812,246.80728149414062,157.91854728018592,246.80728149414062,156.90435844637778,245.68948066001104,157.63419432454305,246.27036641848483,38937600,140920100
2018-01-22,159.34974670410156,248.8140869140625,159.34974670410156,248.8140869140625,157.42564605762516,246.5432439734275,157.60573671781188,246.5960786362487,26081400,91322400
2018-01-23,160.66726684570312,249.3421630859375,160.8094505620659,249.6326059650939,159.76682782657687,248.53239877650185,159.8426562494118,248.85805580664078,37989700,97084700
2018-01-24,159.6247100830078,249.2453155517578,161.3592478502509,250.58318460151446,158.7053100457894,248.06589674141077,161.0085394736187,249.98465151374285,54287400,134816100
2018-01-25,159.56776428222656,249.3509979248047,160.78098991983535,250.20475995372283,159.05592612907853,248.55885395768738,160.72412222788344,250.10795459420666,28925000,84587300
2018-01-26,162.01316833496094,252.2379913330078,162.0321290539717,252.2820157547168,160.14594970194736,249.93196042845608,160.45872202027394,250.18721612064678,32038200,107743100
2018-01-29,161.22650146484375,250.56564331054688,161.99424436831939,252.10593376676047,160.88528078965535,250.40721988157878,161.67198441475063,251.66585077927087,37277800,90118300
2018-01-30,159.89947509765625,247.99554443359375,160.58191623187525,250.61842153870128,159.0653916268907,247.52024734225674,159.75730588752248,248.7348805420454,44987700,131796400
2018-01-31,160.56301879882812,248.11868286132812,161.1222516589373,249.35090935700217,159.5583174171315,247.04487973070007,160.79997721763561,248.84923536768983,42449200,108364800
2018-02-01,159.19815063476562,247.8371124267578,160.8758058286026,249.13976768175868,158.6863123503996,247.04496845650746,159.3308467709357,247.38824606458448,38037900,90102500
2018-02-02,156.0229034423828,242.4416961669922,158.95170605751207,246.64888789097682,155.89020730501497,242.4064820117474,158.57257836868803,246.5168415239415,68478100,173174800
2018-02-05,149.8714599609375,232.3021697998047,157.10343571737928,242.79375870651555,149.75772454507344,231.75647126237143,154.5632483444523,240.68136600719666,105372200,294681800
2018-02-06,153.8428955078125,236.8790283203125,154.03245936754453,237.38072927764424,147.009022186883,227.69890538491987,147.68197605835104,228.7903023920032,118537900,355026800
2018-02-07,151.85244750976562,235.59396362304688,155.01820868152672,239.72191602483426,151.8429599163229,235.5147250731593,153.35001206863618,236.32448933195957,91028300,167376100
2018-02-08,145.4451141357422,226.75709533691406,152.41169932886413,236.03404940738375,145.4451141357422,226.72188118769543,152.24108170025806,235.89321967103496,94184800,246449500
2018-02-09,147.956787109375,230.16334533691406,149.03731651619117,232.02048219017414,142.29822102918837,222.61152153411334,147.50181670234494,229.54721856312062,113836600,283565300
2018-02-12,150.58233642578125,233.5431671142578,151.60599856503148,235.01305567391455,148.2980681832895,230.3041637362492,149.4733727239588,232.2141082919744,63050600,143736000
2018-02-13,151.35951232910156,234.12411499023438,151.66281148516734,234.6698135169629,149.49227944354402,231.7564667161148,149.71976465768537,232.33737939762483,31785600,81223600
2018-02-14,154.1935577392578,237.28382873535156,154.43051613101065,237.64469983614305,149.75770358778533,232.62774542872717,150.4685787630438,232.63655567964338,52107400,120735700
2018-02-15,157.05604553222656,240.3116455078125,157.05604553222656,240.3204557603827,153.96611279154968,236.5621309444541,155.57742723346345,239.02661107728906,51633900,111200300
2018-02-16,156.35459899902344,240.3820343017578,158.06068749392108,242.32721978062207,156.0891923497926,239.64269835895715,156.5441627803688,239.68672275896623,62256300,160420100
2018-02-20,156.6673583984375,238.87701416015625,157.9848460951953,240.87500789598906,155.73848582228874,238.08487024125643,155.80484109483635,239.43152296154543,36785600,86369700
2018-02-21,156.22193908691406,237.68875122070312,158.9706507099989,241.7991371121962,156.12714994289342,237.59194588077656,157.43516492385564,239.31706323837452,41161800,98883700
2018-02-22,156.20297241210938,237.99681091308594,157.7384581397299,240.3292447538347,155.8048840554223,237.32790321531238,156.90435998507564,238.6129376757864,37074400,110511300
2018-02-23,159.3971710205078,241.79037475585938,159.3971710205078,241.79037475585938,156.81906253223366,238.74500816346074,157.4635968856985,239.22030528591498,50096900,92766400
2018-02-26,161.51089477539062,244.5980682373047,161.51089477539062,244.6949004419044,160.01332990355885,242.2744445137796,160.14602607433375,242.86414055255415,39266700,86491400
2018-02-27,159.5109100341797,241.5438995361328,161.82362633010698,245.4958623330936,159.435096073507,241.4822814822058,161.55823407937365,244.7829033072066,42209900,99099200
2018-02-28,158.4872589111328,239.0970458984375,160.94214440661983,243.09300634693332,158.38299663906076,238.78019908798586,160.42083304625956,242.64411317159698,42936300,121907800
2018-03-01,155.89968872070312,235.62037658691406,159.30242282189553,240.43488420283526,154.49689884214843,234.12408410220073,158.57258679618744,238.88578392318158,76809900,176855100
2018-03-02,157.33090209960938,236.83499145507812,157.60576747583823,237.39831043589393,153.5111339061972,233.0855035735666,154.02295767885505,233.94804882971562,57445100,139083200
2018-03-05,159.07492065429688,239.57232666015625,159.48248217509507,240.18845345256145,156.0039344711269,235.54115233150563,156.59160115936658,235.6467947883253,38540200,97307400
2018-03-06,159.7478790283203,240.1796417236328,160.28815115779622,240.62853486564214,158.74317766065695,238.68334915728698,159.85214130965107,240.54929630838222,29480900,79213200
2018-03-07,160.11749267578125,240.09164428710938,160.25020323884107,240.4437052620397,158.25027414441274,237.82082816735752,158.5251394725461,238.0144657326488,34609400,87063500
2018-03-08,160.99900817871094,241.25347900390625,161.1127435771806,241.37668826265542,160.13647617286992,239.77480673572597,160.78101051071332,240.76937164170073,25828400,66901200
2018-03-09,164.12689208984375,245.45187377929688,164.12689208984375,245.45187377929688,161.90896463363384,242.3448890552754,162.1459230660356,242.66176276423687,38310500,113625300
2018-03-12,164.9988555908203,245.14382934570312,165.37798320151097,246.36727300219366,164.24058590664768,244.75655414944248,164.61024038904804,245.7423626511738,37635000,71924800
2018-03-13,162.75253295898438,243.55946350097656,166.06995094910576,246.80727721513375,162.3354838118934,242.95214699439256,165.3780219265254,246.30557629916845,55638900,91968900
2018-03-14,162.72410583496094,242.30963134765625,163.72882184871312,244.70368337191348,162.0132304587795,241.75514946256,163.6055988220801,244.5188560768814,40536400,105895100
2018-03-15,162.58187866210938,242.04556274414062,163.52971215956833,243.46261660024524,161.984738930617,241.54386185847224,162.8377977560049,242.82011284260588,28810400,83433000
2018-03-16,162.0985107421875,242.30813598632812,163.21694747854787,243.35973066378793,162.02268231658442,242.25511667218015,162.85678053542495,242.57323255706797,31176700,100343700
2018-03-19,158.63995361328125,239.02957153320312,160.65261617920999,242.4848066021143,157.2538651099721,237.3770736672259,160.5386962562349,241.5569418332519,71395100,109208400
2018-03-20,159.16207885742188,239.4360809326172,159.53233305288518,240.07233951458812,158.1747391649381,238.75562162094462,158.70638472906438,239.42723539305518,34075700,59757300
2018-03-21,158.46900939941406,238.97657775878906,160.21584860479769,241.48625724722612,157.77597260886824,238.76450052453336,158.7443351083481,239.3919136546146,43863500,78709600
2018-03-22,154.55764770507812,233.0027618408203,157.3772815733106,237.59793775564367,154.3582733617787,232.72879288600006,156.27600740878924,236.74960215058596,66607300,148785900
2018-03-23,150.48486328125,228.03640747070312,155.03236063774952,233.77157928506128,150.40891182692076,227.84199440974007,154.37729201963617,233.44461799346522,80110400,183534800
2018-03-26,156.07666015625,234.2753143310547,156.26654603473474,234.5581019309641,151.10196304313712,229.23829167720385,153.53235163065162,231.64193234021414,57481500,141956100
2018-03-27,151.02597045898438,230.28990173339844,157.23485166004454,235.74226061596968,149.69684210285584,228.73459679677995,157.23485166004454,235.21206754040583,78889100,129941400
