Date,Close,High,Low,Open,Volume
2008-04-23,13.335766792297363,13.886029251070935,13.0897665237844,13.335766792297362,23402800
2008-04-24,13.471708297729492,13.594708386000812,13.148024764729472,13.413445163009113,4960900
2008-04-25,13.704761505126953,13.756550823543042,13.40049941377677,13.594709049148419,1956800
2008-04-28,13.594701766967773,13.911911326693199,13.47170173858311,13.911911326693199,709400
2008-04-29,13.640023231506348,13.847180485170167,13.47818147273716,13.847180485170167,859700
2008-04-30,13.691808700561523,13.724177784079606,13.542914620641186,13.64649321839049,893300
2008-05-01,14.183808326721191,14.242071445049469,13.594704561183583,13.737124831122514,2999000
2008-05-02,14.248554229736328,14.345659076480665,13.911922941917855,14.345659076480665,1639400
2008-05-05,14.183808326721191,14.533387036690852,13.957229670417263,14.533387036690852,579000
2008-05-06,13.95075798034668,14.151442633964699,13.834232960679014,14.112599725987614,1040200
2008-05-07,13.730657577514648,13.983131622540592,13.368132294990001,13.918394656258172,1240100
2008-05-08,13.756550788879395,13.788918649774859,13.614130472282705,13.74360315061931,888100
2008-05-09,14.028446197509766,14.138498662459734,13.614131616406281,13.756551944971891,550400
2008-05-12,13.918392181396484,14.073760131994996,13.775971868703195,14.047866090939268,1168000
2008-05-13,13.801859855651855,13.944281340627487,13.465228826305673,13.93780752451458,1783900
2008-05-14,13.788914680480957,13.905440921768838,13.277495463972848,13.277495463972848,649200
2008-05-15,13.698288917541504,13.892498570373803,13.659447233926016,13.886025985400272,470400
2008-05-16,13.996071815490723,14.015492030713574,13.65944075774621,13.873071768477484,1002400
2008-05-19,14.080233573913574,14.300338473389608,13.950759667837785,14.170864567313819,802900
2008-05-20,14.015498161315918,14.22265544600205,13.886025475764493,14.22265544600205,504100
2008-05-21,13.698288917541504,14.144972600761623,13.62707813528406,14.144972600761623,407100
2008-05-22,13.821290969848633,13.886027941497053,13.672396799385792,13.834238611129324,274600
2008-05-23,13.685342788696289,13.756553578814101,13.594711772004523,13.756553578814101,464200
2008-05-27,13.743605613708496,13.911921236990395,13.627079317993726,13.911921236990395,320300
2008-05-28,13.860127449035645,13.866601267242538,13.640022569019528,13.65944402364021,403800
2008-05-29,13.633550643920898,13.918392510803555,13.627076824815072,13.847181735394205,384600
2008-05-30,13.918392181396484,13.918392181396486,13.62707650230258,13.659445597065632,784300
2008-06-02,13.98313045501709,14.481603448590237,13.724183846263127,14.481603448590237,414900
2008-06-03,13.801859855651855,14.177332546921317,13.782439642067303,14.151438517223855,446000
2008-06-04,13.963708877563477,14.00902437936565,13.640025310685306,13.659446769209731,850300
2008-06-05,14.112606048583984,14.17086920189759,13.911922539812165,13.911922539812165,567400
2008-06-06,14.30681037902832,14.403915178222741,14.080231691071667,14.080231691071667,1588900
2008-06-09,14.45571231842041,14.494554012190465,14.306818130005878,14.43629085415779,377700
2008-06-10,14.144973754882812,14.40392039137222,14.138499934626207,14.313289377289667,594000
2008-06-11,14.054341316223145,14.520446490363682,13.724185130880189,14.060815136392312,692300
2008-06-12,14.144973754882812,14.313289377289667,13.898973524151655,14.313289377289667,394400
2008-06-13,14.494550704956055,14.50102452489979,14.05434082682123,14.332708910627364,460500
2008-06-16,14.727602005004883,14.889443785279662,14.39744462507376,14.546338766585405,783000
2008-06-17,15.00597095489502,15.219602068141594,14.436287163067577,14.727602878746936,1194300
2008-06-18,14.915339469909668,15.012444293773985,14.50749748102278,14.88944419167661,723300
2008-06-19,14.818225860595703,14.947699716277347,14.695227055927758,14.947699716277347,683500
2008-06-20,14.889447212219238,15.018921160140568,14.488078961467181,14.695237525092324,1330300
2008-06-23,14.727602005004883,14.863548507753396,14.675812684707147,14.863548507753396,390500
2008-06-24,14.811758041381836,14.863547357672326,14.442759008467757,14.747022322084748,666900
2008-06-25,15.128969192504883,15.128969192504883,14.792338014794874,14.941232146751515,717000
2008-06-26,14.643442153930664,15.310229376904266,14.332705054018229,14.921808928079647,1993100
2008-06-27,14.578707695007324,14.980074613987501,14.209708637806113,14.242076499585075,4484900
2008-06-30,14.358603477478027,14.882970519336075,13.717710151928225,14.882970519336075,861700
2008-07-01,14.811758041381836,14.947705768366058,14.37802205441597,14.501022143638895,476800
2008-07-02,14.66286563873291,15.038338534759788,14.5398655350201,14.889444387228664,492400
2008-07-03,14.112606048583984,14.636974428406436,13.704765210143826,14.539868349713705,325300
2008-07-07,13.911919593811035,14.280918663487562,13.79539331185954,14.112603060085936,246800
2008-07-08,14.047865867614746,14.047865867614746,13.782445468550776,13.847181187538327,281500
2008-07-09,13.976655006408691,14.086707456646344,13.860128737362388,14.0672860002204,182900
2008-07-10,13.76302719116211,14.041395292226497,13.141554020337317,14.041395292226497,530200
2008-07-11,12.966765403747559,13.471711027293908,12.455344725304016,13.426395521053076,1062500
2008-07-14,12.759600639343262,13.070337680819579,12.701338755992934,12.966759078578919,543100
2008-07-15,12.241708755493164,12.57833986115323,11.710868061435459,12.571866043572715,1191800
2008-07-16,12.558921813964844,12.656026634495195,12.235238255693819,12.280553756290995,464600
2008-07-17,12.753131866455078,12.811395001962856,12.34528991790064,12.811395001962856,232300
2008-07-18,12.656027793884277,12.837291047632876,12.299976341071021,12.299976341071021,308500
2008-07-21,12.766077041625977,12.882603301433402,12.591288886669423,12.837287808120422,148500
2008-07-22,12.902029991149902,12.979713372704147,12.675451197899026,12.675451197899026,144400
2008-07-23,12.746660232543945,12.94086989435776,12.707817312377248,12.850238883478635,214900
2008-07-24,12.21581745147705,12.921446438974968,12.008658946841683,12.90202621664536,518300
2008-07-25,12.39708137512207,12.46829216076208,12.034556096395958,12.39708137512207,241000
2008-07-28,12.06045150756836,12.727240229717669,11.976294307081096,12.461819751962762,241900
2008-07-29,12.299972534179688,12.448866642199727,12.118709336532783,12.228761771755098,289100
2008-07-30,12.597765922546387,12.733713685286935,12.364714555320482,12.520082545056091,251400
2008-07-31,12.461811065673828,13.258071943918733,12.060443101045992,13.258071943918733,579200
2008-08-01,12.487715721130371,12.837293418578797,12.461820436631532,12.552451462867213,389700
2008-08-04,12.688399314880371,12.863188782055325,12.332346559366009,12.584820645759319,324400
2008-08-05,13.167444229125977,13.167444229125978,12.72076067543314,12.850234562946993,336500
2008-08-06,13.012079238891602,13.173921017398326,12.643080181457035,13.173921017398326,343600
2008-08-07,13.044447898864746,13.089763402058665,12.882606110455123,13.076816997399584,376900
2008-08-08,12.992657661437988,13.180394715461066,12.914974299932055,13.13507921545681,268200
2008-08-11,13.445820808410645,13.83424148421301,13.368136179348056,13.652978172903829,958300
2008-08-12,13.510544776916504,13.808332892785918,13.40049237871387,13.40049237871387,729100
2008-08-13,13.785079002380371,13.98116781952654,13.634744159454822,13.647815833016217,515800
2008-08-14,13.713173866271973,14.05306218102139,13.615129495744744,13.837364067180761,567900
2008-08-15,13.562838554382324,13.856972901230355,13.412503775638557,13.856972901230355,370800
2008-08-18,13.824295997619629,13.856978297052231,13.595524888400407,13.680497620222924,546500
2008-08-19,14.327594757080078,14.543292985194642,13.824298475911942,13.889661839792636,782800
2008-08-20,14.314521789550781,14.700164263850716,13.994242678924175,14.438712055859861,801300
2008-08-21,14.314521789550781,14.412566211709542,13.948488698363585,14.3406676337011,719900
2008-08-22,14.347204208374023,14.3798852671183,14.09228721269924,14.373348806028948,307100
2008-08-25,14.229549407958984,14.739380870281916,14.02038765452369,14.229549407958984,245800
2008-08-26,14.124964714050293,14.340662869827044,13.974628653531544,14.30798057549599,228100
2008-08-27,14.196860313415527,14.229542600944496,13.987698660037308,14.223006143438703,216000
2008-08-28,14.451784133911133,14.543292089688,13.791616568100784,14.301448032231775,383700
2008-08-29,15.000828742980957,15.11194603910311,14.079209329668604,14.27529808908326,1009000
2008-09-02,14.902787208557129,15.033513915196266,14.412563928713773,15.033513915196266,652400
2008-09-03,14.29491138458252,14.896251990881833,14.13150362468273,14.817815717580935,295400
2008-09-04,14.033451080322266,14.458312044797596,14.033451080322267,14.22954104393434,409300
2008-09-05,13.70663833618164,13.90926479524469,13.451722706220773,13.90926479524469,443500
2008-09-08,13.667425155639648,14.053067574872328,13.54977136716835,14.053067574872328,382000
2008-09-09,13.497477531433105,13.876583395020168,13.497477531433107,13.628204207167393,517500
2008-09-10,13.778541564941406,13.80468740361427,13.399435631100314,13.399435631100314,591800
2008-09-11,13.772003173828125,13.811220679635184,13.595522527643315,13.791612550082672,327500
2008-09-12,13.745857238769531,13.948482453406102,13.700102031991808,13.706638490102911,231600
2008-09-15,13.268712043762207,13.922343203488472,13.249103906860018,13.71971789305003,403400
2008-09-16,13.307929992675781,13.451728390160591,12.850387710320367,13.177203270087828,421300
