Date,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
2018-01-02,86.13548278808594,125.1500015258789,150.22216796875,236.56222534179688,86.24594276078598,125.18000030517578,150.2600749530319,236.5974395056034,85.97768454697646,124.38999938964844,148.02318684774454,235.35640212165757,86.20649621031713,124.66000366210938,148.3928414113694,235.7436773419188,8850900,11762500,32573300,86655700
2018-01-03,86.1434097290039,124.81999969482422,151.68179321289062,238.05844116210938,86.1986397379368,125.08999633789062,151.81448932382338,238.20808116432923,86.07239627773619,124.0999984741211,150.3358713840609,236.72938223016916,86.1986397379368,125.05000305175781,150.36430523191856,236.72938223016916,2441700,7904300,29383600,90070400
2018-01-04,86.08814239501953,125.45999908447266,151.9472198486328,239.0618438720703,86.11970324638591,125.8499984741211,152.4021759801874,239.5459512266381,85.97768242504564,124.73999786376953,151.7292221447538,238.12008678620776,86.01712897454095,124.88999938964844,152.20313900010493,238.70099949537035,2945400,7329700,24776100,80636400
2018-01-05,86.03292083740234,125.33000183105469,153.4732208251953,240.65496826171875,86.11971168225728,125.4800033569336,153.57748310381623,240.77817751822775,85.96190740996762,124.83000183105469,152.383217927353,239.36112333545296,86.11971168225728,124.93000030517578,152.6675709111186,239.85401408255126,4322900,5739900,26992300,83524000
2018-01-08,86.0092544555664,125.30999755859375,154.07032775878906,241.09503173828125,86.08815358442892,125.31999969482422,154.14615616912735,241.25345513837206,85.96191016255476,124.9000015258789,153.41632037456296,240.2676737237684,86.08815358442892,125.19999694824219,153.47318806661906,240.55811662393486,3394500,3566700,23159100,57319200
2018-01-09,85.77256774902344,124.7300033569336,154.07981872558594,241.6407928466797,85.93037205709017,124.86000061035156,154.5347747774991,242.2657032159506,85.75679032802618,124.2300033569336,153.61538954483012,241.235897127514,85.93037205709017,124.48999786376953,154.37364481042138,241.51755670766337,2301300,9153600,24782400,57254000
2018-01-10,85.77256774902344,125.02999877929688,153.7196502685547,241.2710723876953,85.78045946933149,125.30999755859375,153.74809858305758,241.5351382742084,85.55164773734886,124.72000122070312,152.71494894070165,240.2148894232378,85.59110031927025,125.16999816894531,153.39739030731755,240.88379724256805,4194300,14809300,34004000,69574300
2018-01-11,85.81195831298828,125.44000244140625,154.7717742919922,243.0313262939453,85.89085740019033,125.66000366210938,154.78126188614814,243.0313262939453,85.69360667237795,125.25,153.7481265188664,241.6582700778627,85.73305922578622,125.37000274658203,153.98508496802987,241.8255036942274,3470400,5994700,20473500,62361500
2018-01-12,85.79620361328125,126.95999908447266,155.9091339111328,244.61572265625,85.86721702927262,127.12999725341797,156.07026386676313,244.78292946823333,85.70941278241209,125.80999755859375,154.43998912853863,242.99619373709777,85.71730449965925,126.01000213623047,154.63902605963855,243.29547378514889,3605900,9258600,37762700,90816100
2018-01-16,85.81986999511719,127.16999816894531,155.46365356445312,243.77947998046875,85.98556595391479,127.18000030517578,157.73844816243434,246.525592497555,85.78042344937859,126.4000015258789,154.99920994629912,243.08414159937195,85.89877512582702,126.5999984741211,156.94227149942006,245.8742785150605,6794400,8083900,41231800,106555100
2018-01-17,85.7251968383789,126.13999938964844,157.14126586914062,246.1032257080078,85.87510334946253,127.22000122070312,157.3782241781954,246.49050093358076,85.70152770608237,125.9000015258789,155.44465073993487,243.7796012151073,85.78831853758074,126.7699966430664,156.20292022146765,244.7125751147502,3146300,10130500,33849900,113258800
2018-01-18,85.53583526611328,125.86000061035156,157.16978454589844,245.68954467773438,85.63051179253863,126.5199966430664,157.52995150223362,246.41126036770294,85.48849098328422,125.80000305175781,156.52525013602505,245.19662701698726,85.55161268064538,126.12999725341797,156.8949046851545,245.98879788782554,2896500,6289300,26432200,100728000
2018-01-19,85.35438537597656,126.41999816894531,157.6626434326172,246.8072967529297,85.52796708167176,126.7300033569336,157.91856256374317,246.8072967529297,85.32282451861217,126.41000366210938,156.90437363178057,245.6894958496924,85.52796708167176,126.56999969482422,157.63420958058026,246.27038164407927,2933800,8773800,38937600,140920100
2018-01-22,85.32283782958984,126.6500015258789,159.3497772216797,248.8140869140625,85.44908127874234,126.75,159.3497772216797,248.8140869140625,85.29916868777849,126.27999877929688,157.42567620671264,246.5432439734275,85.38595955416609,126.51000213623047,157.6057669013891,246.5960786362487,3983200,4893500,26081400,91322400
