Date,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
2018-01-02,86.13548278808594,125.1500015258789,150.22216796875,236.5621337890625,86.24594276078598,125.18000030517578,150.2600749530319,236.59734793924068,85.97768454697646,124.38999938964844,148.02318684774454,235.35631103559285,86.20649621031713,124.66000366210938,148.3928414113694,235.74358610597346,8850900,11762500,32573300,86655700
2018-01-03,86.14339447021484,124.81999969482422,151.6818084716797,238.05848693847656,86.1986244693647,125.08999633789062,151.81450459596132,238.20812696947078,86.07238103152591,124.0999984741211,150.3358865074538,236.72942775097104,86.1986244693647,125.05000305175781,150.3643203581718,236.72942775097104,2441700,7904300,29383600,90070400
2018-01-04,86.08810424804688,125.45999908447266,151.94720458984375,239.0618438720703,86.11966508542815,125.8499984741211,152.4021606757109,239.5459512266381,85.97764432701949,124.73999786376953,151.72920690785642,238.12008678620776,86.01709085903542,124.88999938964844,152.20312371561604,238.70099949537035,2945400,7329700,24776100,80636400
2018-01-05,86.03289794921875,125.33000183105469,153.47314453125,240.65487670898438,86.11968877098387,125.4800033569336,153.57740675804052,240.77808591862066,85.96188454067644,124.83000183105469,152.38314217526522,239.36103227493797,86.11968877098387,124.93000030517578,152.66749501767447,239.85392283452506,4322900,5739900,26992300,83524000
2018-01-08,86.00924682617188,125.30999755859375,154.0703887939453,241.09503173828125,86.08814594803569,125.31999969482422,154.14621723432313,241.25345513837206,85.96190253735988,124.9000015258789,153.41638115063336,240.2676737237684,86.08814594803569,125.19999694824219,153.47324886521767,240.55811662393486,3394500,3566700,23159100,57319200
2018-01-09,85.77254486083984,124.7300033569336,154.07984924316406,241.6407470703125,85.93034912679691,124.86000061035156,154.5348053851874,242.26565732120056,85.75676744405276,124.2300033569336,153.6154199704218,241.23585142785015,85.93034912679691,124.48999786376953,154.3736753861957,241.517510954642,2301300,9153600,24782400,57254000
2018-01-10,85.77254486083984,125.02999877929688,153.7196502685547,241.27105712890625,85.780436579042,125.30999755859375,153.74809858305758,241.53512299871895,85.55162490811719,124.72000122070312,152.71494894070165,240.21487423124526,85.59107747951077,125.16999816894531,153.39739030731755,240.88378200827157,4194300,14809300,34004000,69574300
2018-01-11,85.81200408935547,125.44000244140625,154.77174377441406,243.0314178466797,85.89090321864622,125.66000366210938,154.78123136669927,243.0314178466797,85.69365238561049,125.25,153.74809620312902,241.65836111335076,85.73310496006472,125.37000274658203,153.98505460556953,241.82559479271433,3470400,5994700,20473500,62361500
2018-01-12,85.79619598388672,126.95999908447266,155.90916442871094,244.61575317382812,85.86720939356324,127.12999725341797,156.07029441588074,244.7829600066717,85.70940516073539,125.80999755859375,154.44001935854706,242.99622405262795,85.71729687728077,126.01000213623047,154.63905632860636,243.2955041380164,3605900,9258600,37762700,90816100
2018-01-16,85.81986999511719,127.16999816894531,155.46371459960938,243.77957153320312,85.98556595391479,127.18000030517578,157.73851009067678,246.52568508160715,85.78042344937859,126.4000015258789,154.99927079911444,243.08423289096814,85.89877512582702,126.5999984741211,156.9423331150829,245.87437085450807,6794400,8083900,41231800,106555100
2018-01-17,85.7251968383789,126.13999938964844,157.14129638671875,246.10316467285156,85.87510334946253,127.22000122070312,157.37825474179195,246.4904398023778,85.70152770608237,125.9000015258789,155.4446809280223,243.77954075622463,85.78831853758074,126.7699966430664,156.2029505568146,244.71251442448408,3146300,10130500,33849900,113258800
2018-01-18,85.53585052490234,125.86000061035156,157.16978454589844,245.68946838378906,85.63052706821709,126.5199966430664,157.52995150223362,246.41118384964335,85.4885062336275,125.80000305175781,156.52525013602505,245.19655087610764,85.55162794224898,126.12999725341797,156.8949046851545,245.98872150095318,2896500,6289300,26432200,100728000
2018-01-19,85.3543930053711,126.41999816894531,157.6626434326172,246.80731201171875,85.52797472658187,126.7300033569336,157.91856256374317,246.80731201171878,85.32283214518563,126.41000366210938,156.90437363178057,245.68951103937377,85.52797472658187,126.56999969482422,157.63420958058026,246.27039686967373,2933800,8773800,38937600,140920100
2018-01-22,85.32281494140625,126.6500015258789,159.34976196289062,248.81405639648438,85.44905835669346,126.75,159.34976196289062,248.81405639648438,85.29914580594425,126.27999877929688,157.42566113216887,246.54321373437313,85.38593664904985,126.51000213623047,157.6057518096005,246.59604839071403,3983200,4893500,26081400,91322400
2018-01-23,85.5279769897461,127.27999877929688,160.66729736328125,249.34219360351562,85.5595378507667,127.3499984741211,160.8094811066508,249.63263651822,85.44118612684412,126.33999633789062,159.76685817312315,248.532429194971,85.47274698786472,126.52999877929688,159.84268661036114,248.85808626496785,4775600,6190400,37989700,97084700
2018-01-24,85.4411849975586,128.8300018310547,159.6246795654297,249.24533081054688,85.46485413810652,129.25999450683594,161.35921700105814,250.5831999422078,85.3307249952558,128.22999572753906,158.70527970398518,248.06591192799587,85.40962413695513,128.38999938964844,161.0085086914755,249.98466681779405,2362300,11827600,54287400,134816100
2018-01-25,85.6620864868164,127.97000122070312,159.56776428222656,249.35098266601562,85.6620864868164,129.50999450683594,160.78098991983535,250.20474464268864,85.36226740531562,127.36000061035156,159.05592612907853,248.5588387473728,85.41749739452938,128.69000244140625,160.72412222788344,250.10793928909638,9851600,15219700,28925000,84587300
2018-01-26,85.50428009033203,128.07000732421875,162.0132293701172,252.2378387451172,85.61474005823447,128.52000427246094,162.032190096271,252.28186314019422,85.42537495358734,127.97000122070312,160.1460100336671,249.93180923556702,85.61474005823447,128.24000549316406,160.45878246982426,250.1870647733443,3808000,7828700,32038200,107743100
2018-01-29,85.3543930053711,127.3499984741211,161.22654724121094,250.56564331054688,85.40962300579102,127.62999725341797,161.9942903626686,252.10593376676047,85.22814956462922,126.91999816894531,160.8853264691412,250.40721988157878,85.32283214518563,127.58000183105469,161.67203031760192,251.66585077927087,3974900,6956400,37277800,90118300
