Date,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
2000-01-03,10.047221183776855,10.137258529663086,10.144389667178952,10.318640889040756,9.814016823611823,10.036490552231047,10.124955970498533,10.318640889040756,700800,396900
2000-01-04,10.047221183776855,10.25818157196045,10.105522273818114,10.298488768706855,10.008353790416017,10.117106383348027,10.047221183776855,10.117106383348027,455600,325500
2000-01-05,10.435897827148438,10.641101837158203,10.435897827148438,10.681409041086832,10.04722379261777,10.258183399836222,10.04722379261777,10.258183399836222,1293200,392200
2000-01-06,10.397029876708984,10.701563835144043,10.474764679525501,10.862792668818528,10.338728774596598,10.560488605678866,10.435897278117244,10.560488605678866,320400,433000
2000-01-07,10.552496910095215,10.842639923095703,10.57193060606224,10.882947134705725,10.397027342359006,10.661257470850607,10.416461038326032,10.76202549987566,312700,250500
2000-01-10,10.474764823913574,10.802329063415527,10.649668132661667,10.903097058410074,10.455331122941564,10.782175464416618,10.552499627801616,10.842636261413345,483300,307700
2000-01-11,10.455328941345215,10.842639923095703,10.474762638262213,10.862793528900713,10.397027850594219,10.802332711485683,10.455328941345215,10.802332711485683,479200,223000
2000-01-12,10.513626098632812,10.923249244689941,10.533059788279084,10.943402841082358,10.358156581462643,10.80232766633544,10.494192408986542,10.822481262727857,240400,252500
2000-01-13,10.552496910095215,10.90310001373291,10.591364302029268,10.963560827117751,10.455328430260083,10.84263920034807,10.494195822194136,10.923253618194524,235100,222400
2000-01-14,10.397029876708984,10.90310001373291,10.533065781637887,10.923253618194524,10.31929507389247,10.802331991424843,10.533065781637887,10.923253618194524,280900,529900
2000-01-18,10.047221183776855,10.641101837158203,10.397027724024406,10.88294506072998,10.047221183776855,10.641101837158203,10.397027724024406,10.862791458765665,416000,363800
2000-01-19,10.299859046936035,10.782177925109863,10.319292743251008,10.842638735904872,10.066654691156351,10.64110269992151,10.086088387471325,10.64110269992151,406200,215500
2000-01-20,10.260992050170898,10.661256790161133,10.280425747235615,10.762024812752449,10.183257261912027,10.661256790161133,10.24155835310618,10.762024812752449,212300,278800
2000-01-21,10.338726997375488,10.963560104370117,10.338726997375488,10.963560104370117,10.202691115831074,10.701563263640683,10.280425905285025,10.74187046990675,407000,345000
2000-01-24,10.397029876708984,10.923249244689941,10.552499482342016,11.104631612221693,10.338728774596598,10.923249244689941,10.338728774596598,10.963556437474775,342400,855500
2000-01-25,10.144389152526855,10.600794792175293,10.416460892249798,11.003866837505152,10.086088065443368,10.520180383109322,10.377593500860806,10.92325242843918,405900,964400
2000-01-26,10.260992050170898,10.862791061401367,10.338726838429768,10.862791061401367,10.16382356484731,10.600794245449201,10.183257261912027,10.681408650357561,324600,508500
2000-01-27,10.241559028625488,10.822484016418457,10.299860123665102,11.003866430101448,10.183257933585875,10.741869610337128,10.222125330278951,10.862791219459123,291100,923900
2000-01-28,10.047221183776855,10.641101837158203,10.20269075722021,10.84263785680135,10.027787487096436,10.600794633229572,10.163823363859372,10.822484254837036,610400,357300
2000-01-31,10.124950408935547,10.802329063415527,10.202685152958084,10.822482662414435,9.950047234884837,10.64110027142425,10.066649350918643,10.701561068420979,256700,209900
2000-02-01,10.124950408935547,10.862791061401367,10.202685152958084,10.882944662628457,10.04721566491301,10.661255049130471,10.202685152958084,10.802330257720099,185200,318200
2000-02-02,10.124950408935547,10.842639923095703,10.377588327008795,10.983715163730778,10.124950408935547,10.822486317290693,10.202685152958084,10.842639923095703,418500,765300
2000-02-03,10.241559028625488,11.205401420593262,10.397028615397792,11.225555020270587,10.124956838546261,10.862790226078719,10.124956838546261,10.862790226078719,434400,536200
2000-02-04,9.930621147155762,10.983713150024414,10.319295164656966,11.265863579566325,9.872320044530582,10.923252343694005,10.260994062031786,11.265863579566325,378700,1106200
2000-02-07,9.872318267822266,10.862791061401367,9.930619359955076,10.963559067536817,9.83345087306706,10.822483858947189,9.930619359955076,10.963559067536817,234900,2040500
2000-02-08,9.91118335723877,10.936656951904297,10.086086592954748,10.998214120489125,9.872315971524108,10.854580727124528,9.872315971524108,10.87509978331947,309900,461400
2000-02-09,9.814016342163086,10.69042682647705,10.105521778068919,10.916136413984244,9.79458264643603,10.669907773067306,10.105521778068919,10.916136413984244,328900,307500
2000-02-10,9.677979469299316,10.382637977600098,9.891750100147293,10.69042368839852,9.63911208187241,10.321080835440414,9.814015325293482,10.69042368839852,367100,399000
2000-02-11,9.639113426208496,10.44420051574707,9.755715604751341,10.4852386317225,9.639113426208496,10.280048051845348,9.67798081905611,10.382643341783925,446200,339400
2000-02-14,9.716846466064453,10.423680305480957,9.79458123779297,10.608351806956012,9.60024430847168,10.403161249761506,9.716846466064453,10.444199361200408,261500,317600
2000-02-15,9.677979469299316,10.280052185058594,9.736280550439673,10.44420471495973,9.63911208187241,10.280052185058594,9.716846856726221,10.423685648722088,199700,234600
2000-02-16,9.619678497314453,10.07485580444336,9.697413273050328,10.280046350358703,9.580811109446516,10.07485580444336,9.639112191248422,10.2184891865841,154000,367900
2000-02-17,9.483643531799316,9.992780685424805,9.619679402132503,10.095375969669412,9.464209836037433,9.95174257172696,9.619679402132503,10.095375969669412,186900,287100
2000-02-18,9.40591049194336,9.828629493713379,9.483645289397437,9.910705731656707,9.192139798944647,9.787591374741716,9.483645289397437,9.890186672170875,463200,510500
2000-02-22,9.464208602905273,9.992780685424805,9.52250968259463,10.033818799122647,9.36704013675635,9.828628230633432,9.48364229613506,9.849147287482353,209700,410600
2000-02-23,9.40591049194336,9.849150657653809,9.464211590033917,9.97226504087448,9.231007197671685,9.726036274433136,9.444777890670398,9.97226504087448,292300,356400
2000-02-24,8.978368759155273,9.50032901763916,9.405910128638858,9.787595985775116,8.861766567477932,9.315657395266044,9.405910128638858,9.767076916622548,397900,653000
2000-02-25,8.978368759155273,9.254097938537598,9.075537252219725,9.479807644355587,8.861766567477932,9.192540746041782,8.978368759155273,9.479807644355587,297400,798200
2000-02-28,9.347610473632812,9.438769340515137,9.367044175241197,9.561883723217509,8.978370143073512,9.233578702677852,9.056104949507048,9.315654957812766,652300,335700
2000-02-29,9.32817268371582,9.2335786819458,9.347606376806894,9.438769319322374,9.231004218260447,9.213059618208144,9.308738990624745,9.438769319322374,767000,365600
2000-03-01,9.172701835632324,9.048905372619629,9.30873766794043,9.254095970638215,9.017232312994489,9.02838631281777,9.269870287280972,9.233576910836355,317700,324200
2000-03-02,8.997800827026367,9.048905372619629,9.056101912298676,9.130981611827062,8.881198656481748,9.048905372619629,8.958933436844827,9.048905372619629,580800,455900
2000-03-03,9.075536727905273,8.966827392578125,9.17270521535608,9.130979839124178,8.958934542964307,8.884751169305098,9.01723563543479,9.04890361585115,273600,595000
2000-03-06,8.764596939086914,8.597485542297363,9.017234988328887,8.9668285966204,8.706295850800306,8.515409308003356,9.017234988328887,8.9668285966204,2242900,386100
2000-03-07,8.867186546325684,8.86423397064209,9.026239219802378,9.172019872400496,8.787660209587337,8.720600549821501,8.82742337795651,8.761638670055955,294700,828200
2000-03-08,8.90694808959961,8.782158851623535,9.026237572942462,8.84371603983585,8.82742176737104,8.74112072614866,8.887066509042468,8.782158851623535,489500,442100
2000-03-09,8.92682933807373,8.741118431091309,8.986474077526339,8.864232775191185,8.827421438986049,8.65904220169139,8.906947758256194,8.802675603141248,379700,430200
2000-03-10,8.946712493896484,8.556448936462402,9.006357243855794,8.782158620637668,8.906949327256944,8.53592987426465,9.006357243855794,8.761639558439917,216800,687100
2000-03-13,8.946712493896484,8.70008373260498,8.986475660536025,9.315655694817597,8.867186160617404,8.576969340162456,8.986475660536025,8.741121863419155,252800,555600
2000-03-14,8.84730052947998,8.823195457458496,8.946708400597732,8.843714516661889,8.767774232585777,8.597485806221187,8.946708400597732,8.700081102238144,299800,458400
