Date,Close,High,Low,Open,Volume
2000-01-03,3.177598476409912,3.3367348668801204,3.1673319799220665,3.3367348668801204,767027
2000-01-04,3.177598476409912,3.2340659867520007,3.172465228165989,3.1981321812491785,697050
2000-01-05,3.192997932434082,3.24433253437761,3.182730727300035,3.1929979324340816,486208
2000-01-06,3.151931047439575,3.1981320595355127,3.1416645513424495,3.19299881148695,802470
2000-01-07,3.2392003536224365,3.2443339584428,3.1570648120876155,3.1570648120876155,3667917
2000-01-10,3.203265905380249,3.264867740913384,3.187866158360647,3.2443340330235664,1010586
2000-01-11,3.192997932434082,3.24433253437761,3.1929979324340816,3.2032644257047758,2276544
2000-01-12,3.1878662109375,3.2238000223714103,3.182732249982611,3.1981327091198914,788838
2000-01-13,3.2083990573883057,3.2186662658156315,3.1981322048927705,3.2083990573883057,684326
2000-01-14,3.182732105255127,3.223799875776463,3.182732105255127,3.213533378060917,982413
2000-01-18,3.1262636184692383,3.1929986879732595,3.1057299152057363,3.1929986879732595,1027853
2000-01-19,3.0903313159942627,3.1365323434110954,3.0595307496936717,3.1211315263629613,957875
2000-01-20,3.0749289989471436,3.115996756579656,3.0697957517004038,3.1057295502227387,1245056
2000-01-21,3.069796323776245,3.1108640890619936,3.069796323776245,3.080062820182951,1713088
2000-01-24,3.003061532974243,3.1108643825275153,2.9979282842866417,3.1108643825275153,1969370
2000-01-25,2.9311938285827637,3.0081952214202925,2.890126063137629,3.0081952214202925,1574950
2000-01-26,2.91579270362854,2.9568604621658157,2.895258824359902,2.9209259509883703,867904
2000-01-27,2.8541932106018066,2.9363280570477848,2.8336593210243595,2.9157941674703376,1142362
2000-01-28,2.7892305850982666,2.8510985786847143,2.768607682252884,2.8510985786847143,1160538
2000-01-31,2.7737629413604736,2.856253830560144,2.7479845384855768,2.80469702481035,1658560
2000-02-01,2.6758041381835938,2.794385304807426,2.577845868629607,2.794385304807426,4074150
2000-02-02,2.6809611320495605,2.7325181353300727,2.6603389384447693,2.70158404060425,2399232
2000-02-03,2.763453483581543,2.8046985937793774,2.711896470252967,2.7222074796961615,1865766
2000-02-04,2.7325167655944824,2.8253195394648922,2.722205584592061,2.784073564293513,652518
2000-02-07,2.6964268684387207,2.7325164445504844,2.6861158673851264,2.7222052647595265,764301
2000-02-08,2.7222061157226562,2.763452098941554,2.6809603112411784,2.7118951114458363,2037530
2000-02-09,2.747983932495117,2.763451328283976,2.7222053565675495,2.7222053565675495,1714906
2000-02-10,2.7737629413604736,2.80985252664792,2.72736163744825,2.72736163744825,2463757
2000-02-11,2.747983932495117,2.809851907014221,2.747983932495117,2.7943852261748425,1653107
2000-02-14,2.778918504714966,2.804697086897933,2.727361697823859,2.742828918628604,1903936
2000-02-15,2.804696798324585,2.815008516116668,2.747984316579476,2.789230115323436,1527693
2000-02-16,2.717050790786743,2.799541690179968,2.717050790786743,2.794386187705323,1344115
2000-02-17,2.6551811695098877,2.732516539908479,2.6500256688031762,2.732516539908479,1431360
2000-02-18,2.5933144092559814,2.6758053189882327,2.5933144092559814,2.6758053189882327,1292314
2000-02-22,2.5984692573547363,2.5984692573547363,2.562379672181792,2.5984692573547363,1163264
2000-02-23,2.5572235584259033,2.5933131349627376,2.536600662388994,2.5933131349627376,1024218
2000-02-24,2.479888916015625,2.544335015817509,2.454110333104937,2.536601405196819,1057843
2000-02-25,2.5572235584259033,2.5572235584259033,2.454109614453455,2.500510370902695,1767616
2000-02-28,2.5623793601989746,2.5726905413233703,2.485043982498216,2.5520674641250305,875174
2000-02-29,2.639714479446411,2.639714479446411,2.5211333164339784,2.5572236086287945,1248691
2000-03-01,2.6809611320495605,2.6964285368874212,2.598470212780701,2.629404128769049,982413
2000-03-02,2.7222061157226562,2.7376735158249854,2.660338123950119,2.660338123950119,1117824
2000-03-03,2.691272497177124,2.7428293114521134,2.680960598109809,2.7428293114521134,948787
2000-03-06,2.6964268684387207,2.763451235084907,2.6809594731715096,2.7118942637059322,860634
2000-03-07,2.6345598697662354,2.7067388699304904,2.629403473646762,2.696427865065844,1195981
2000-03-08,2.5830039978027344,2.655183207958876,2.5778477781879863,2.639716515227214,1289587
2000-03-09,2.5572235584259033,2.5830019550503325,2.5417561629765135,2.5830019550503325,1703091
2000-03-10,2.6190922260284424,2.670649211684784,2.5572242364631417,2.5572242364631417,1016947
2000-03-13,2.6758041381835938,2.7325166135978884,2.5572236865092615,2.5572236865092615,1736717
2000-03-14,2.6861164569854736,2.778918346635584,2.660337876268927,2.680960061640032,1730355
2000-03-15,2.7428297996520996,2.7840749009384846,2.6809610752976973,2.6861174725927466,2278362
2000-03-16,2.866565227508545,2.902654806495865,2.773762457147186,2.773762457147186,1589491
2000-03-17,3.0109245777130127,3.021236296243365,2.851098302614787,2.851098302614787,1759437
2000-03-20,2.9851460456848145,3.072793325807489,2.949056462292125,2.949056462292125,2529190
2000-03-21,3.0315475463867188,3.052170267743289,2.990301567461374,2.990301567461374,809741
2000-03-22,3.0160813331604004,3.04701614413493,3.0109258292271157,3.0315489173851473,1059661
2000-03-23,3.0727930068969727,3.0727930068969727,3.016079635748699,3.016079635748699,1178714
2000-03-24,3.041858196258545,3.1088825690942854,2.9696790373694304,3.0934149936613133,2046618
2000-03-27,2.9851460456848145,3.0418585290320976,2.9748348638136175,3.0418585290320976,954240
2000-03-28,2.9748342037200928,3.005768278681843,2.9696787032971614,2.9954572778359805,800653
2000-03-29,2.8974995613098145,2.9748349467682234,2.8923440595991528,2.9748349467682234,2444672
2000-03-30,2.995457410812378,3.0006129114641755,2.8974989662061157,2.8974989662061157,1580403
2000-03-31,3.2480859756469727,3.2480859756469727,3.010924333157715,3.021236050850522,2370150
2000-04-03,3.1295058727264404,3.2480863501692667,3.103727647946411,3.2480863501692667,960602
2000-04-04,3.0727930068969727,3.211996181928398,3.0521699303453493,3.155283883204414,1154176
2000-04-05,3.1862189769744873,3.2016861999474946,3.0521709027913464,3.0521709027913464,718861
2000-04-06,3.2377750873565674,3.2687091691041243,3.2016855040551504,3.2016855040551504,1112371
2000-04-07,3.242931365966797,3.253243086494962,3.2223086398602354,3.2480868687559945,866995
