Date,Close,High,Low,Open,Volume
2000-01-03,9.655427932739258,10.13634963053853,9.544446002477887,10.099355653784741,1368700
2000-01-04,9.581439971923828,9.618433948649402,9.137512251216933,9.581439971923828,1283100
2000-01-05,9.026531219482422,9.581440925598145,8.989537239074707,9.581440925598145,1865000
2000-01-06,9.507448196411133,9.581436120118612,9.026526692312515,9.026526692312515,1076200
2000-01-07,10.728256225585938,11.246172043372846,9.618436616042565,9.618436616042565,5434300
2000-01-10,11.061197280883789,11.283161105918246,10.913221397527485,11.024203310044713,1611500
2000-01-11,10.543285369873047,11.172183093690036,10.506291386119106,11.172183093690036,939000
2000-01-12,10.913222312927246,11.061198208695751,10.543282573505984,10.543282573505984,1011200
2000-01-13,11.69009780883789,11.69009780883789,10.913224220275879,11.024206161499023,1079400
2000-01-14,12.171014785766602,12.355984615337523,11.838069092538943,11.838069092538943,1698000
2000-01-18,11.357152938842773,12.134026592639838,11.283164971814482,12.134026592639838,493600
2000-01-19,11.69009780883789,11.83807373046875,11.320158004760742,11.357151985168457,734100
2000-01-20,11.69009780883789,11.801079750061035,11.579115867614746,11.616109848022461,656400
2000-01-21,11.875073432922363,12.023049425855975,11.690103441755348,11.838079434688959,909300
2000-01-24,11.875073432922363,12.134031420556184,11.838079434688959,11.986055427622572,599200
2000-01-25,11.579113960266113,11.949053703405605,11.357150114382417,11.912059729091656,853500
2000-01-26,11.209172248840332,11.579111927019882,10.765244635024874,11.579111927019882,1765100
2000-01-27,10.913222312927246,11.246168078406383,10.802240391100867,11.209174104464257,687900
2000-01-28,10.654268264770508,10.950220161014133,10.506292316648695,10.950220161014133,442000
2000-01-31,10.469294548034668,10.691258390042469,10.358312627030767,10.654264416374502,679200
2000-02-01,10.654268264770508,10.765250225861868,10.358316368526882,10.469298329618242,1109300
2000-02-02,10.28432846069336,10.728256307917531,10.02537054981259,10.65426833338017,1280200
2000-02-03,10.06236457824707,10.580280402127434,9.951382615986992,10.43230445244733,960600
2000-02-04,9.988370895385742,10.247328659340187,9.914382962827329,10.173340726781774,891000
2000-02-07,9.914387702941895,10.0993576227729,9.692423799144688,10.0993576227729,429500
2000-02-08,9.729414939880371,9.914384805657566,9.618433020414056,9.877390832502126,598500
2000-02-09,9.433466911315918,9.803406790191051,9.35947893554089,9.692424826528512,417400
2000-02-10,9.137514114379883,9.507453957067327,8.878556224498672,9.470459972798583,755800
2000-02-11,8.841557502746582,9.35947300499952,8.804563538299943,9.174503182766328,3768400
2000-02-14,8.841557502746582,8.989533360533136,8.767569573853304,8.915545431639858,521800
2000-02-15,8.98953628540039,8.98953628540039,8.804566402984745,8.878554355951003,1230900
2000-02-16,10.728256225585938,10.839238186540276,9.174508772225217,9.174508772225217,5838300
2000-02-17,11.246167182922363,11.468131008901095,11.024203356943632,11.468131008901095,2032000
2000-02-18,10.802240371704102,11.24616805821249,10.654264476201305,11.24616805821249,822300
2000-02-22,10.321318626403809,10.950216177116586,10.284324652832469,10.802240282831226,788300
2000-02-23,10.06236457824707,10.358316477607278,9.914388628566966,10.358316477607278,649100
2000-02-24,10.13634967803955,10.284325585748157,9.951379793403792,10.173343654966702,1224200
2000-02-25,9.914387702941895,10.210339574671503,9.914387702941895,10.136351606739101,543900
2000-02-28,10.06236457824707,10.136352553087121,9.914388628566966,10.06236457824707,719800
2000-02-29,10.580277442932129,10.580277442932129,10.210337672200238,10.358313580492995,1161900
2000-03-01,10.025367736816406,10.432301482591242,9.840397852373298,10.432301482591242,1165300
2000-03-02,9.766412734985352,10.025370648412993,9.618436784455271,10.025370648412993,1217600
2000-03-03,9.766412734985352,9.766412734985352,9.618436784455271,9.69242475972031,752200
2000-03-06,9.285487174987793,9.803402794309822,9.100517310944213,9.470457039031375,1352400
2000-03-07,8.693586349487305,9.17450814754405,8.360640489294175,9.17450814754405,2141900
2000-03-08,8.73057746887207,8.841559385849257,8.32364377328905,8.841559385849257,983100
2000-03-09,9.026531219482422,9.063525199890137,8.693585395812988,8.730579376220703,1049000
2000-03-10,8.952542304992676,9.06352423439341,8.43462663445591,8.989536281459587,1884800
